OF072522,Cage 4,3526248,Batch 1,Phase 1,2,9:09:18 AM,300,622.72,158.12,135.57,1212,1128,97.05,63,202.95,64,23.79,53.35,1,15.46,36,84,610,26,37,9.99,2,3,10,22.47,14.98,On,On
OF072522,Cage 4,3526248,Batch 1,Phase 1,3,9:14:18 AM,300,637.01,175.9,143.51,1081,1003,116.87,66,183.13,67,20.19,62.82,3,9.84,33,78,460,28,47,11.42,2,4,10.34,27.46,17.23,On,On
OF072522,Cage 4,3526248,Batch 1,Phase 1,4,9:19:18 AM,300,495.98,97.47,146.69,924,866,142.12,61,157.88,62,17.59,42.09,3,12.59,24,58,409,22,41,12.35,2,3,11.26,22,15.92,On,On
OF072522,Cage 5,3526807,Batch 1,Phase 1,1,9:05:04 AM,300,884.09,235.27,282.89,1409,1334,53.95,31,246.05,32,33.37,52.06,1,9.67,35,75,808,20,32,9.19,6,1,8.05,16.46,6.94,On,On
OF072522,Cage 5,3526807,Batch 1,Phase 1,2,9:10:04 AM,300,699.17,205.11,172.4,1117,1055,100.4,58,199.6,59,22,59.61,2,12.94,25,62,456,29,59,19.97,0,2,9.27,22.95,12.29,On,On
OF072522,Cage 5,3526807,Batch 1,Phase 1,3,9:15:04 AM,300,513.36,120.65,130.18,983,927,121.89,71,178.11,72,15.47,63.91,5,10.55,29,56,432,32,57,13.36,3,2,8.34,20.01,11.32,On,On
OF072522,Cage 5,3526807,Batch 1,Phase 1,4,9:20:04 AM,300,417.61,98.43,127.32,799,728,133.13,62,166.87,63,14.85,57.19,2,19.08,29,71,360,33,51,10.2,4,1,7.73,19.26,3.23,On,On
OF072522,Cage 6,3526780,Batch 1,Phase 1,1,9:05:22 AM,300,918.61,163.41,279.4,1236,1166,40.47,29,259.54,30,33.48,51.82,2,11.44,32,70,483,22,37,11.35,3,1,8.42,16.67,13.97,On,On
OF072522,Cage 6,3526780,Batch 1,Phase 1,2,9:10:22 AM,300,615.71,91.76,143.51,1054,995,57.53,37,242.47,38,27.02,51.66,1,11.76,26,59,522,27,52,13.98,1,2,8.16,16.74,9.11,On,On
OF072522,Cage 6,3526780,Batch 1,Phase 1,3,9:15:22 AM,300,470.04,105.73,125.41,841,797,109.64,54,190.36,55,17.36,44.05,1,5.94,21,44,317,28,44,12.88,1,3,6.68,15.34,8.75,On,On
OF072522,Cage 6,3526780,Batch 1,Phase 1,4,9:20:22 AM,300,734.59,146.37,177.48,1163,1116,83.23,47,216.77,48,28.14,39.22,2,9.86,22,47,538,46,63,16.28,2,4,9.77,34.39,12.83,On,On
OF072522,Cage 7,3526753,Batch 1,Phase 1,1,9:05:39 AM,300,658.42,135.68,152.4,1154,1072,60.5,39,239.5,39,28.86,57.75,3,11.17,37,82,600,11,18,3.73,2,3,7.65,22.21,10.68,On,On
OF072522,Cage 7,3526753,Batch 1,Phase 1,2,9:10:39 AM,300,647,122.87,135.57,983,906,74.14,42,225.86,43,28.86,50.43,5,19,33,77,406,17,26,9.12,2,0,6.91,15.04,9.39,On,On
OF072522,Cage 7,3526753,Batch 1,Phase 1,3,9:15:39 AM,300,781.34,175.26,159.7,1089,1024,62.52,38,237.48,39,26.22,58.52,6,10.23,29,65,416,28,48,10.75,3,4,8.63,19.8,12.21,On,On
OF072522,Cage 7,3526753,Batch 1,Phase 1,4,9:20:39 AM,300,768.42,127.32,219.39,1143,1086,63,41,237,42,24.58,48.6,5,9.14,26,57,510,20,40,11.39,5,2,9.85,20.61,13.58,On,On
OF072522,Cage 8,3526032,Batch 1,Phase 1,1,9:06:49 AM,300,916.29,282.68,342.9,1428,1334,62.27,35,237.73,36,33.81,59.76,5,7.41,38,94,890,22,28,6.95,2,6,9.74,21.95,14.8,On,On
OF072522,Cage 8,3526032,Batch 1,Phase 1,2,9:11:49 AM,300,916.04,264.16,226.38,1271,1219,80.78,49,219.22,50,31.33,71.07,5,5.13,23,52,581,23,29,8.03,2,2,9.64,20.96,16.26,On,On
OF072522,Cage 8,3526032,Batch 1,Phase 1,3,9:16:49 AM,300,910.82,250.19,262.26,1199,1142,69.45,40,230.55,41,33.78,53.58,4,7.97,25,57,535,19,26,5.49,3,2,9.33,19.48,9.27,On,On
OF072522,Cage 8,3526032,Batch 1,Phase 1,4,9:21:49 AM,300,692.36,153.04,205.11,963,922,105.26,53,194.74,54,28.52,65.3,4,5.76,20,41,393,16,27,10.35,4,3,8.6,19.94,11.23,On,On
OF072522,Cage 9,3526113,Batch 1,Phase 1,1,9:07:11 AM,300,962.91,290.94,345.33,1693,1623,69.73,48,230.27,49,34.55,47.52,2,7.69,29,70,1134,30,46,14.67,5,4,10.99,22,15.49,On,On
OF072522,Cage 9,3526113,Batch 1,Phase 1,2,9:12:11 AM,300,793.28,213.36,213.04,1272,1215,78.31,45,221.69,46,29.67,50.17,2,6.39,31,57,651,23,33,14.96,2,3,10.25,21.15,14.62,On,On
OF072522,Cage 9,3526113,Batch 1,Phase 1,3,9:17:11 AM,300,714.94,207.96,250.83,1144,1084,111.86,61,188.14,62,19.76,54.64,0,11.72,32,60,534,36,64,25.46,1,3,10.39,19.62,16.21,On,On
